run_id,step,epoch,train_loss,learning_rate
qv-r32,30,0.9795918367346939,1.5502897262573243,0.00017523595023795813
qv-r32,35,1.1306122448979592,1.4814029693603517,0.00016149984440179537
qv-r32,40,1.2938775510204081,1.5383071899414062,0.00014556759384562416
qv-r32,45,1.457142857142857,1.509878921508789,0.00012800813542249072
qv-r32,50,1.620408163265306,1.4323987007141112,0.00010944851318880314
qv-r32,55,1.7836734693877552,1.4920135498046876,9.055148681119688e-05
qv-r32,60,1.9469387755102041,1.5294556617736816,7.19918645775093e-05
qv-r32,65,2.0979591836734692,1.3885212898254395,5.443240615437586e-05
qv-r32,70,2.2612244897959184,1.441634464263916,3.8500155598204644e-05
qv-r32,75,2.424489795918367,1.4108283042907714,2.4764049762041874e-05
qv-r32,80,2.5877551020408163,1.4319186210632324,1.3714601696757712e-05
qv-r32,85,2.7510204081632654,1.4306564331054688,5.746384547432737e-06
qv-r32,90,2.914285714285714,1.4697784423828124,1.143941440811147e-06
qv-r64,5,0.16326530612244897,1.8017507553100587,8e-05
qv-r64,10,0.32653061224489793,1.8195304870605469,0.00018
qv-r64,15,0.4897959183673469,1.7041719436645508,0.00019885605855918885
qv-r64,20,0.6530612244897959,1.694380760192871,0.00019425361545256727
qv-r64,25,0.8163265306122449,1.5806640625,0.00018628539830324229
qv-r64,30,0.9795918367346939,1.543846321105957,0.00017523595023795813
qv-r64,35,1.1306122448979592,1.4464016914367677,0.00016149984440179537
qv-r64,40,1.2938775510204081,1.4937120437622071,0.00014556759384562416
qv-r64,45,1.457142857142857,1.4676165580749512,0.00012800813542249072
qv-r64,50,1.620408163265306,1.385614013671875,0.00010944851318880314
qv-r64,55,1.7836734693877552,1.4428345680236816,9.055148681119688e-05
qv-r64,60,1.9469387755102041,1.4820507049560547,7.19918645775093e-05
qv-r64,65,2.0979591836734692,1.3213682174682617,5.443240615437586e-05
qv-r64,70,2.2612244897959184,1.3626118659973145,3.8500155598204644e-05
qv-r64,75,2.424489795918367,1.3274030685424805,2.4764049762041874e-05
qv-r64,80,2.5877551020408163,1.351754379272461,1.3714601696757712e-05
qv-r64,85,2.7510204081632654,1.3487683296203614,5.746384547432737e-06
qv-r64,90,2.914285714285714,1.3886096000671386,1.143941440811147e-06
all-r16,5,0.16326530612244897,1.7983261108398438,8e-05
all-r16,10,0.32653061224489793,1.7833452224731445,0.00018
all-r16,15,0.4897959183673469,1.6801536560058594,0.00019885605855918885
all-r16,20,0.6530612244897959,1.677734375,0.00019425361545256727
all-r16,25,0.8163265306122449,1.5565144538879394,0.00018628539830324229
all-r16,30,0.9795918367346939,1.513244342803955,0.00017523595023795813
all-r16,35,1.1306122448979592,1.3630955696105957,0.00016149984440179537
all-r16,40,1.2938775510204081,1.378590965270996,0.00014556759384562416
all-r16,45,1.457142857142857,1.337549591064453,0.00012800813542249072
all-r16,50,1.620408163265306,1.2479379653930665,0.00010944851318880314
all-r16,55,1.7836734693877552,1.3093082427978515,9.055148681119688e-05
all-r16,60,1.9469387755102041,1.3298715591430663,7.19918645775093e-05
all-r16,65,2.0979591836734692,1.131276798248291,5.443240615437586e-05
all-r16,70,2.2612244897959184,1.116892147064209,3.8500155598204644e-05
all-r16,75,2.424489795918367,1.0752455711364746,2.4764049762041874e-05
all-r16,80,2.5877551020408163,1.1108113288879395,1.3714601696757712e-05
all-r16,85,2.7510204081632654,1.0929006576538085,5.746384547432737e-06
all-r16,90,2.914285714285714,1.1313029289245606,1.143941440811147e-06
