run_id,step,epoch,train_loss,learning_rate
qv-r16,5,0.16326530612244897,1.810959243774414,8e-05
qv-r16,10,0.32653061224489793,1.8839544296264648,0.00018
qv-r16,15,0.4897959183673469,1.8163223266601562,0.00019885605855918885
qv-r16,20,0.6530612244897959,1.7451616287231446,0.00019425361545256727
qv-r16,25,0.8163265306122449,1.6084238052368165,0.00018628539830324229
qv-r16,30,0.9795918367346939,1.5619597434997559,0.00017523595023795813
qv-r16,35,1.1306122448979592,1.508354663848877,0.00016149984440179537
qv-r16,40,1.2938775510204081,1.574869441986084,0.00014556759384562416
qv-r16,45,1.457142857142857,1.5426162719726562,0.00012800813542249072
qv-r16,50,1.620408163265306,1.4663460731506348,0.00010944851318880314
qv-r16,55,1.7836734693877552,1.5298065185546874,9.055148681119688e-05
qv-r16,60,1.9469387755102041,1.56356201171875,7.19918645775093e-05
qv-r16,65,2.0979591836734692,1.4370190620422363,5.443240615437586e-05
qv-r16,70,2.2612244897959184,1.4983617782592773,3.8500155598204644e-05
qv-r16,75,2.424489795918367,1.465034294128418,2.4764049762041874e-05
qv-r16,80,2.5877551020408163,1.488999080657959,1.3714601696757712e-05
qv-r16,85,2.7510204081632654,1.488932991027832,5.746384547432737e-06
qv-r16,90,2.914285714285714,1.531026554107666,1.143941440811147e-06
qv-r8,5,0.16326530612244897,1.8124414443969727,8e-05
qv-r8,10,0.32653061224489793,1.9008438110351562,0.00018
qv-r8,15,0.4897959183673469,1.8611047744750977,0.00019885605855918885
qv-r8,20,0.6530612244897959,1.7991884231567383,0.00019425361545256727
qv-r8,25,0.8163265306122449,1.6433691024780273,0.00018628539830324229
qv-r8,30,0.9795918367346939,1.5802319526672364,0.00017523595023795813
qv-r8,35,1.1306122448979592,1.5356354713439941,0.00016149984440179537
qv-r8,40,1.2938775510204081,1.6074838638305664,0.00014556759384562416
qv-r8,45,1.457142857142857,1.5733401298522949,0.00012800813542249072
qv-r8,50,1.620408163265306,1.4926814079284667,0.00010944851318880314
qv-r8,55,1.7836734693877552,1.556341552734375,9.055148681119688e-05
qv-r8,60,1.9469387755102041,1.5936406135559082,7.19918645775093e-05
qv-r8,65,2.0979591836734692,1.4750608444213866,5.443240615437586e-05
qv-r8,70,2.2612244897959184,1.5404081344604492,3.8500155598204644e-05
qv-r8,75,2.424489795918367,1.5082630157470702,2.4764049762041874e-05
qv-r8,80,2.5877551020408163,1.5319049835205079,1.3714601696757712e-05
qv-r8,85,2.7510204081632654,1.5315523147583008,5.746384547432737e-06
qv-r8,90,2.914285714285714,1.5746213912963867,1.143941440811147e-06
qv-r32,5,0.16326530612244897,1.8077617645263673,8e-05
qv-r32,10,0.32653061224489793,1.8557720184326172,0.00018
qv-r32,15,0.4897959183673469,1.7567676544189452,0.00019885605855918885
qv-r32,20,0.6530612244897959,1.7058486938476562,0.00019425361545256727
qv-r32,25,0.8163265306122449,1.5917336463928222,0.00018628539830324229
